,Company,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Day
21,^TNX,1.726999998092651,1.860000014305115,1.509999990463257,1.690999984741211,0,0,0,2019,10,1
22,^TNX,1.677000045776367,1.970999956130981,1.669999957084656,1.776000022888184,0,0,0,2019,11,1
23,^TNX,1.83299994468689,1.949000000953674,1.692999958992004,1.919000029563904,0,0,0,2019,12,1
24,^TNX,1.902999997138977,1.902999997138977,1.51199996471405,1.519999980926514,0,0,0,2020,1,1
25,^TNX,1.554999947547913,1.667999982833862,1.126999974250793,1.126999974250793,0,0,0,2020,2,1
26,^TNX,1.067000031471252,1.266000032424927,0.3980000019073486,0.6980000138282776,0,0,0,2020,3,1
27,^TNX,0.6100000143051147,0.7839999794960022,0.5429999828338623,0.621999979019165,0,0,0,2020,4,1
28,^TNX,0.6129999756813049,0.7450000047683716,0.5899999737739563,0.6480000019073486,0,0,0,2020,5,1
29,^TNX,0.6669999957084656,0.9570000171661377,0.6190000176429749,0.652999997138977,0,0,0,2020,6,1
30,^TNX,0.6809999942779541,0.7239999771118164,0.527999997138977,0.5360000133514404,0,0,0,2020,7,1
31,^TNX,0.5590000152587891,0.7459999918937683,0.5040000081062317,0.6930000185966492,0,0,0,2020,8,1
32,^TNX,0.7200000286102295,0.7289999723434448,0.6060000061988831,0.6769999861717224,0,0,0,2020,9,1
33,^TNX,0.7009999752044678,0.871999979019165,0.652999997138977,0.8600000143051147,0,0,0,2020,10,1
34,^TNX,0.8539999723434448,0.9750000238418579,0.7480000257492065,0.843999981880188,0,0,0,2020,11,1
35,^TNX,0.8569999933242798,0.9860000014305115,0.8569999933242798,0.9169999957084656,0,0,0,2020,12,1
36,^TNX,0.9350000023841858,1.187000036239624,0.9070000052452087,1.093000054359436,0,0,0,2021,1,1
37,^TNX,1.078999996185303,1.613999962806702,1.059999942779541,1.460000038146973,0,0,0,2021,2,1
38,^TNX,1.450999975204468,1.764999985694885,1.402999997138977,1.746000051498413,0,0,0,2021,3,1
39,^TNX,1.705000042915344,1.745000004768372,1.529000043869019,1.63100004196167,0,0,0,2021,4,1
40,^TNX,1.651000022888184,1.700000047683716,1.470999956130981,1.580999970436096,0,0,0,2021,5,1
41,^TNX,1.625,1.639000058174133,1.437999963760376,1.442999958992004,0,0,0,2021,6,1
42,^TNX,1.470999956130981,1.485000014305115,1.128000020980835,1.238999962806702,0,0,0,2021,7,1
43,^TNX,1.230999946594238,1.378999948501587,1.128999948501587,1.304000020027161,0,0,0,2021,8,1
44,^TNX,1.310999989509583,1.567000031471252,1.259999990463257,1.529000043869019,0,0,0,2021,9,1
45,^TNX,1.496000051498413,1.690999984741211,1.463000059127808,1.557000041007996,0,0,0,2021,10,1
46,^TNX,1.587000012397766,1.692999958992004,1.411999940872192,1.442999958992004,0,0,0,2021,11,1
47,^TNX,1.48199999332428,1.557999968528748,1.343000054359436,1.51199996471405,0,0,0,2021,12,1
48,^TNX,1.534000039100647,1.873999953269958,1.532999992370605,1.781999945640564,0,0,0,2022,1,1
49,^TNX,1.75,2.065000057220459,1.743000030517578,1.83899998664856,0,0,0,2022,2,1
50,^TNX,1.733999967575073,2.503000020980835,1.682000041007996,2.32699990272522,0,0,0,2022,3,1
51,^TNX,2.404000043869019,2.953999996185303,2.357000112533569,2.88700008392334,0,0,0,2022,4,1
52,^TNX,2.921999931335449,3.16700005531311,2.70799994468689,2.844000101089478,0,0,0,2022,5,1
53,^TNX,2.871000051498413,3.483000040054321,2.83299994468689,2.971999883651733,0,0,0,2022,6,1
54,^TNX,2.931999921798706,3.101000070571899,2.618000030517578,2.641999959945679,0,0,0,2022,7,1
55,^TNX,2.657999992370605,3.151000022888184,2.525000095367432,3.132999897003174,0,0,0,2022,8,1
56,^TNX,3.217000007629395,3.992000102996826,3.176000118255615,3.803999900817871,0,0,0,2022,9,1
57,^TNX,3.711999893188477,4.333000183105469,3.563999891281128,4.077000141143799,0,0,0,2022,10,1
58,^TNX,3.937000036239624,4.223000049591064,3.667999982833862,3.703000068664551,0,0,0,2022,11,1
59,^TNX,3.594000101089478,3.904999971389771,3.401999950408936,3.878999948501587,0,0,0,2022,12,1
60,^TNX,3.757999897003174,3.809999942779541,3.372999906539917,3.529000043869019,0,0,0,2023,1,1
61,^TNX,3.474999904632568,3.983000040054321,3.334000110626221,3.915999889373779,0,0,0,2023,2,1
62,^TNX,3.940000057220459,4.091000080108643,3.295000076293945,3.49399995803833,0,0,0,2023,3,1
